seq,timestamp_ms,red,ir,red_corrected,ir_corrected,datetime
191,138897,40638,100991,44.85355078714752,80.65188949368856,1970-01-01 00:02:18.897
192,138919,40597,100978,3.608950635659309,67.16060186233442,1970-01-01 00:02:18.919
193,138940,40594,100982,0.20602446572875,71.00098115231981,1970-01-01 00:02:18.940
194,138960,40609,100982,15.436022822514644,70.71586949148119,1970-01-01 00:02:18.960
195,138983,40611,100984,16.73021302514697,72.22538123562879,1970-01-01 00:02:18.983
196,138994,40594,100981,-0.0231692078486762,68.77045952847791,1970-01-01 00:02:18.994
197,139021,40610,100986,17.240883986231836,73.50443838693238,1970-01-01 00:02:19.021
198,139047,40606,100976,12.937954413488727,63.39212737911107,1970-01-01 00:02:19.047
199,139058,40610,100986,16.748359133715795,72.92732859738655,1970-01-01 00:02:19.058
200,139078,40629,100987,36.04723999350669,73.46398173021956,1970-01-01 00:02:19.078
201,139098,40606,100962,12.823368592060268,48.16250459824976,1970-01-01 00:02:19.098
202,139118,40609,100973,15.643024519061168,58.86946471027408,1970-01-01 00:02:19.118
203,139142,40604,100974,10.654127841314155,60.00559592385647,1970-01-01 00:02:19.142
204,139153,40605,100968,11.466054196475795,53.52619687083282,1970-01-01 00:02:19.153
205,139171,40612,100967,18.64085571349612,51.72665602902834,1970-01-01 00:02:19.171
206,139191,40627,100984,32.88616053213776,68.54948158072399,1970-01-01 00:02:19.191
207,139226,40601,100984,6.541347550289349,68.5657120817496,1970-01-01 00:02:19.226
208,139236,40609,100977,14.22418035214836,60.94780701180571,1970-01-01 00:02:19.236
209,139257,40609,100980,14.46099536943407,63.34725557370405,1970-01-01 00:02:19.257
210,139282,40608,100995,13.02581751482834,78.33354226978737,1970-01-01 00:02:19.282
211,139295,40606,100986,10.936416424028994,69.05272773907078,1970-01-01 00:02:19.295
212,139310,40619,100984,24.160371649747027,66.56780629623171,1970-01-01 00:02:19.310
213,139340,40611,101004,16.675110153232264,86.07959888970181,1970-01-01 00:02:19.340
214,139354,40605,100992,10.297996805228143,73.88912088076282,1970-01-01 00:02:19.354
215,139375,40608,101006,12.762357367444666,87.4952231349567,1970-01-01 00:02:19.375
216,139396,40615,100991,20.29422850675538,71.68006231205361,1970-01-01 00:02:19.396
217,139417,40621,101000,26.167631873311883,80.37443433873396,1970-01-01 00:02:19.417
218,139438,40618,101010,22.65585287327765,90.18603454893972,1970-01-01 00:02:19.438
219,139468,40627,101001,31.46831507140222,80.66166201524933,1970-01-01 00:02:19.468
220,139490,40612,101010,15.954407933213174,89.173331286561,1970-01-01 00:02:19.490
221,139503,40619,101018,23.02995773401644,96.65198886503232,1970-01-01 00:02:19.503
222,139514,40618,101008,22.02517208241644,86.28971331525902,1970-01-01 00:02:19.514
223,139535,40632,101016,36.18534325789945,93.6124844946532,1970-01-01 00:02:19.535
224,139557,40624,101028,27.40997379644361,105.1671851574632,1970-01-01 00:02:19.557
225,139577,40617,101021,20.012116794209238,97.82517677777535,1970-01-01 00:02:19.577
226,139605,40625,101023,28.21867645462449,99.183425841179,1970-01-01 00:02:19.605
227,139631,40630,101036,33.038409791183845,111.51862803654308,1970-01-01 00:02:19.631
228,139648,40560,101045,-36.67583001612161,119.968253620439,1970-01-01 00:02:19.648
229,139663,40629,101031,31.87546338365061,105.57060815817673,1970-01-01 00:02:19.663
230,139674,40622,101045,24.79082084750788,118.96706275295084,1970-01-01 00:02:19.674
231,139694,40628,101030,30.39626755943524,103.39362719334076,1970-01-01 00:02:19.694
232,139715,40625,101037,27.03723791244276,109.90618491446855,1970-01-01 00:02:19.715
233,139737,40617,101059,18.770349957098343,130.94707798786493,1970-01-01 00:02:19.737
234,139758,40628,101043,30.06332628009921,114.33382497791276,1970-01-01 00:02:19.758
235,139779,40630,101044,31.930293591732745,114.8657614907582,1970-01-01 00:02:19.779
236,139801,40624,101045,25.52892684400948,115.44599729985248,1970-01-01 00:02:19.801
237,139823,40627,101044,28.79487879342448,113.80522187160244,1970-01-01 00:02:19.823
238,139843,40626,101067,27.9305666471955,135.98699991323755,1970-01-01 00:02:19.843
239,139863,40623,101062,25.014214120980835,130.11517031219557,1970-01-01 00:02:19.863
240,139874,40621,101075,22.920827855889748,142.34452636726968,1970-01-01 00:02:19.874
241,139895,40628,101028,29.410979389971963,94.9343062431115,1970-01-01 00:02:19.895
242,139930,40641,101028,41.80709174279248,94.70461165203858,1970-01-01 00:02:19.930
243,139949,40620,101020,20.93531758759036,86.17371851488369,1970-01-01 00:02:19.949
244,139969,40626,101038,26.90942227787454,103.34919324691984,1970-01-01 00:02:19.969
245,139980,40621,101036,21.738924771900265,100.70161608972994,1970-01-01 00:02:19.980
246,140001,40627,101043,26.85676679236209,107.47435118322298,1970-01-01 00:02:20.001
247,140021,40633,101050,32.23268404544097,114.32332588422912,1970-01-01 00:02:20.021
248,140045,40636,101042,35.459878751129594,105.42126280627824,1970-01-01 00:02:20.045
249,140067,40658,101031,57.06277664027419,93.72171161039697,1970-01-01 00:02:20.067
250,140087,40655,101039,53.576389137370256,101.3593591815742,1970-01-01 00:02:20.087
251,140099,40646,101055,44.34113202217399,116.86188648758204,1970-01-01 00:02:20.099
252,140120,40642,101059,40.79084633412184,120.39889700817528,1970-01-01 00:02:20.120
253,140142,40640,101061,38.38536645118704,121.64300698706268,1970-01-01 00:02:20.142
254,140162,40636,101054,34.383365502581185,113.92734483357168,1970-01-01 00:02:20.162
255,140183,40672,101071,70.06329091709318,130.27041065968996,1970-01-01 00:02:20.183
256,140207,40650,101108,47.61418571410741,166.60910189668914,1970-01-01 00:02:20.207
257,140229,40636,101080,33.218818749499306,137.87588319044704,1970-01-01 00:02:20.229
258,140248,40660,101066,57.39774043060444,123.07332306742336,1970-01-01 00:02:20.248
259,140259,40639,101066,36.19518106065376,122.41564023664948,1970-01-01 00:02:20.259
260,140280,40632,101071,28.548059732216394,127.00083351373662,1970-01-01 00:02:20.280
261,140301,40640,101082,36.851410870925214,137.4918753879826,1970-01-01 00:02:20.301
262,140322,40636,101085,32.726459973282175,139.21818137193395,1970-01-01 00:02:20.322
263,140344,40644,101071,40.7551160539802,124.7307658131357,1970-01-01 00:02:20.344
264,140361,40635,101097,30.94548353632321,150.25413318663064,1970-01-01 00:02:20.361
265,140382,40651,101088,46.29698589955861,140.66996336669635,1970-01-01 00:02:20.382
266,140395,40643,101087,38.31227746197261,138.79756937976202,1970-01-01 00:02:20.395
267,140417,40633,101090,28.741949303978824,140.7691531019257,1970-01-01 00:02:20.417
268,140440,40659,101071,54.17324429278362,121.49347401699993,1970-01-01 00:02:20.440
269,140464,40638,101078,33.27424212639752,127.50973242929815,1970-01-01 00:02:20.464
